date,cpi_yoy,remittances,pkr_usd,cpi_yoy_diff,remittances_diff,pkr_usd_diff,remittances_diff2
2016-07-31,3.17,1360.3,104.73875,,,,
2016-08-31,2.8,1767.7,104.622119,-0.3700000000000001,26.197400290245287,-0.11141624757495805,
2016-09-30,3.23,1612.4,104.539576,0.43000000000000016,-9.19555142988262,-0.07892745780724297,-35.39295172012791
2016-10-31,4.19,1561.0,104.598489,0.9600000000000004,-3.239711072757867,0.05633886070262051,5.955840357124753
2016-11-30,4.69,1618.4,104.693531,0.5,3.6111365338103774,0.09082238924653652,6.850847606568244
2016-12-31,4.08,1585.4,104.72481,-0.6100000000000003,-2.0601265450480355,0.029872264371100243,-5.671263078858413
2017-01-31,4.53,1488.4,104.730126,0.4500000000000002,-6.313502393058812,0.005076032203099601,-4.253375848010776
2017-02-28,5.04,1417.1,104.720417,0.5099999999999998,-4.908918764164305,-0.009270923691939714,1.4045836288945068
2017-03-31,6.14,1694.5,104.741682,1.0999999999999996,17.877518221628108,0.02030438936166945,22.786436985792413
2017-04-30,6.91,1538.9,104.7474,0.7700000000000005,-9.631983657729926,0.005458995711737913,-27.509501879358034
2017-05-31,6.36,1867.2,104.738087,-0.5499999999999998,19.33721070624852,-0.008891308070602122,28.969194363978445
2017-06-30,6.54,1840.3,104.770211,0.17999999999999972,-1.4511380741142332,0.030666088702346883,-20.788348780362753
2017-07-31,3.86,1555.7,105.424984,-2.68,-16.800299669807384,0.623016256782094,-15.34916159569315
2017-08-31,4.39,1975.0,105.307931,0.5299999999999998,23.86427932421471,-0.11109134236404472,40.664578994022094
2017-09-30,4.66,1314.1,105.32069,0.27000000000000046,-40.74163776856299,0.01211516265460233,-64.6059170927777
2017-10-31,4.83,1677.0,105.33906,0.16999999999999993,24.38544621736165,0.017440446071503857,65.12708398592464
2017-11-30,5.03,1596.5,105.362649,0.20000000000000018,-4.919274966837239,0.022390895840818104,-29.30472118419889
2017-12-31,5.61,1745.8,108.697368,0.5800000000000001,8.939917014641274,3.1159380914568935,13.859191981478514
2018-01-31,5.24,1662.3,110.403041,-0.3700000000000001,-4.9010717759835565,1.5570098350934813,-13.84098879062483
2018-02-28,4.46,1473.1,110.434192,-0.7800000000000002,-12.083316172052161,0.028211728414984094,-7.182244396068604
2018-03-31,3.59,1803.6,112.068851,-0.8700000000000001,20.241564372603715,1.4693627452997404,32.324880544655876
2018-04-30,3.96,1678.9,115.421634,0.3700000000000001,-7.164585050457717,2.947838268383407,-27.406149423061432
2018-05-31,4.98,1804.1,115.44688,1.0200000000000005,7.192303541640488,0.021870457485295702,14.356888592098205
2018-06-30,5.67,1627.7,118.905517,0.6899999999999995,-10.289387706130437,2.951869220737091,-17.481691247770925
2018-07-31,6.66,1974.35,124.353414,0.9900000000000002,19.307125484384535,4.479842168062476,29.596513190514973
2018-08-31,6.17,2083.08,123.789583,-0.4900000000000002,5.360833742715965,-0.4544411707397167,-13.94629174166857
2018-09-30,5.42,1480.3,124.081628,-0.75,-34.16027977490117,0.23564264196664908,-39.52111351761714
2018-10-31,6.5,2052.55,130.383058,1.08,32.68381526463564,4.953707838931987,66.84409503953681
2018-11-30,5.66,1657.0,133.504122,-0.8399999999999999,-21.407418413923995,2.3655636029227267,-54.09123367855963
2018-12-31,5.37,1740.54,138.471259,-0.29000000000000004,4.918667146260347,3.653043407929868,26.326085560184342
2019-01-31,5.55,1735.85,138.695078,0.17999999999999972,-0.26982029319970735,0.161505218182878,-5.188487439460054
2019-02-28,6.75,1573.68,138.530726,1.2000000000000002,-9.808038133369568,-0.11856906311269455,-9.53821784016986
2019-03-31,8.64,1733.5,139.166346,1.8900000000000006,9.67256605016047,0.457780203039615,19.480604183530037
2019-04-30,8.27,1770.17,141.164561,-0.370000000000001,2.093310102849255,1.4256357709489187,-7.579255947311214
2019-05-31,8.42,2302.02,145.69225,0.15000000000000036,26.271141118782282,3.157021115906211,24.177831015933027
2019-06-30,8.04,1636.37,155.249095,-0.3800000000000008,-34.13066243801346,6.3534371191948935,-60.40180355679574
2019-07-31,8.38,2028.28,158.829694,0.34000000000000163,21.470776928057944,2.2801629768002485,55.6014393660714
2019-08-31,10.49,1683.95,158.077024,2.1099999999999994,-18.604591909176005,-0.47501133456142597,-40.07536883723395
2019-09-30,11.38,1740.25,156.176407,0.8900000000000006,3.288655689869735,-1.2096225447985276,21.89324759904574
2019-10-31,11.04,2001.22,155.949085,-0.34000000000000163,13.972821351893305,-0.14566066919812215,10.68416566202357
2019-11-30,12.67,1821.45,155.367457,1.6300000000000008,-9.412410739977073,-0.373657418257789,-23.385232091870378
2019-12-31,12.63,2097.07,154.920011,-0.03999999999999915,14.090824519735357,-0.2884075937934938,23.50323525971243
2020-01-31,14.56,1906.98,154.656144,1.9299999999999997,-9.502029349684804,-0.17046988900011328,-23.59285386942016
2020-02-29,12.4,1824.83,154.263358,-2.16,-4.403400687557735,-0.2542968049123573,5.098628662127069
2020-03-31,10.24,1904.68,158.44718,-2.16,4.282718345525804,2.676002985430781,8.68611903308354
2020-04-30,8.52,1785.1,164.437274,-1.7200000000000006,-6.483957939461771,3.7107895851081985,-10.766676284987575
2020-05-31,8.23,1865.23,160.076694,-0.28999999999999915,4.390993381736408,-2.687614652889714,10.874951321198179
2020-06-30,8.59,2473.27,165.103864,0.35999999999999943,28.215679182559228,3.092171676148414,23.82468580082282
2020-07-31,9.3,2764.960828,166.762519,0.7100000000000009,11.148530607101126,0.9996003789615848,-17.067148575458102
2020-08-31,8.21,2096.213734,167.706397,-1.0899999999999999,-27.689373419712116,0.5644055160149541,-38.83790402681324
2020-09-30,9.03,2285.022573,165.854091,0.8199999999999985,8.624316948377508,-1.1106381643064545,36.313690368089624
